安全技术及工程	anquanjishujigongcheng
比较教育学	bijiaojiaoyuxue
比较文学与世界文学	bijiaowenxueyushijiewenxue
病理学与病理生理学	binglixueyubinglishenglixue
兵器发射理论与技术	bingqifashelilunyujishu
兵器科学与技术	bingqikexueyujishu
病原生物学	bingyuanshengwuxue
兵种战术学	bingzhongzhanshuxue
捕捞学	bulaoxue
采矿工程	caikuanggongcheng
材料加工工程	cailiaojiagonggongcheng
材料科学与工程	cailiaokexueyugongcheng
材料物理与化学	cailiaowuliyuhuaxue
材料学	cailiaoxue
财政学含税收学	caizhengxuehanshuishouxue
草业科学	caoyekexue
测绘科学与技术	cehuikexueyujishu
测试计量技术及仪器	ceshijiliangjishujiyiqi
茶学	chaxue
产业经济学	chanyejingjixue
车辆工程	chelianggongcheng
成人教育学	chengrenjiaoyuxue
传播学	chuanboxue
船舶与海洋工程	chuanboyuhaiyanggongcheng
船舶与海洋结构物设计制造	chuanboyuhaiyangjiegouwushejizhizao
大地测量学与测量工程	dadiceliangxueyucelianggongcheng
大气物理学与大气环境	daqiwulixueyudaqihuanjing
档案学	danganxue
导航制导与控制	daohangzhidaoyukongzhi
道路与铁道工程	daoluyutiedaogongcheng
德语语言文学	deyuyuyanwenxue
等离子体物理	denglizitiwuli
地球化学	diqiuhuaxue
地球探测与信息技术	diqiutanceyuxinxijishu
地球物理学	diqiuwulixue
第四纪地质学	disijidizhixue
地图学与地理信息系统	dituxueyudilixinxixitong
地图制图学与地理信息工程	dituzhituxueyudilixinxigongcheng
地质工程	dizhigongcheng
地质学	dizhixue
地质资源与地质工程	dizhiziyuanyudizhigongcheng
电磁场与微波技术	diancichangyuweibojishu
电工理论与新技术	diangonglilunyuxinjishu
电机与电器	dianjiyudianqi
电力电子与电力传动	dianlidianziyudianlichuandong
电力系统及其自动化	dianlixitongjiqizidonghua
电路与系统	dianluyuxitong
电气工程	dianqigongcheng
电影学	dianyingxue
动力工程及工程热物理	dongligongchengjigongchengrewuli
动力机械及工程	donglijixiejigongcheng
动物学	dongwuxue
动物遗传育种与繁殖	dongwuyichuanyuzhongyufanzhi
动物营养与饲料科学	dongwuyingyangyusiliaokexue
俄语语言文学	eyuyuyanwenxue
耳鼻咽喉科学	erbiyanhoukexue
儿科学	erkexue
儿少卫生与妇幼保健学	ershaoweishengyufuyoubaojianxue
发酵工程	fajiaogongcheng
法律史	falvshi
法学理论	faxuelilun
法医学	fayixue
发育生物学	fayushengwuxue
法语语言文学	fayuyuyanwenxue
发展与教育心理学	fazhanyujiaoyuxinlixue
方剂学	fangjixue
放射医学	fangsheyixue
防灾减灾工程及防护工程	fangzaijianzaigongchengjifanghugongcheng
纺织材料与纺织品设计	fangzhicailiaoyufangzhipinsheji
纺织工程	fangzhigongcheng
纺织化学与染整工程	fangzhihuaxueyuranzhenggongcheng
纺织科学与工程	fangzhikexueyugongcheng
飞行器设计	feixingqisheji
分析化学	fenxihuaxue
妇产科学	fuchankexue
辐射防护及环境保护	fushefanghujihuanjingbaohu
服装设计与工程	fuzhuangshejiyugongcheng
概率论与数理统计	gailvlunyushulitongji
港口海岸及近海工程	gangkouhaianjijinhaigongcheng
钢铁冶金	gangtieyejin
高等教育学	gaodengjiaoyuxue
高电压与绝缘技术	gaodianyayujueyuanjishu
高分子化学与物理	gaofenzihuaxueyuwuli
工程力学	gongchenglixue
工程热物理	gongchengrewuli
公共管理	gonggongguanli
供热供燃气通风及空调工程	gongregongranqitongfengjikongtiaogongcheng
工商管理	gongshangguanli
工业催化	gongyecuihua
构造地质学	gouzaodizhixue
古生物学与地层学含古人类学	gushengwuxueyudicengxuehangurenleixue
固体地球物理学	gutidiqiuwulixue
固体力学	gutilixue
管理学	guanlixue
广播电视艺术学	guangbodianshiyishuxue
光学	guangxue
国防经济	guofangjingji
国际关系	guojiguanxi
国际贸易学	guojimaoyixue
国际政治	guojizhengzhi
国民经济学	guominjingjixue
果树学	guoshuxue
国外马克思主义研究	guowaimakesizhuyiyanjiu
海洋地质	haiyangdizhi
海洋化学	haiyanghuaxue
海洋科学	haiyangkexue
海洋生物学	haiyangshengwuxue
汉语言文字学	hanyuyanwenzixue
航空航天与航海医学	hangkonghangtianyuhanghaiyixue
航空宇航科学与技术	hangkongyuhangkexueyujishu
航空宇航推进理论与工程	hangkongyuhangtuijinlilunyugongcheng
航空宇航制造工程	hangkongyuhangzhizaogongcheng
核技术及应用	hejishujiyingyong
核科学与技术	hekexueyujishu
核能科学与工程	henengkexueyugongcheng
核燃料循环与材料	heranliaoxunhuanyucailiao
合同战术学	hetongzhanshuxue
后方专业勤务	houfangzhuanyeqinwu
护理学	hulixue
化工过程机械	huagongguochengjixie
化学	huaxue
化学工程	huaxuegongcheng
化学工程与技术	huaxuegongchengyujishu
化学工艺	huaxuegongyi
环境工程	huanjinggongcheng
环境科学	huanjingkexue
环境与资源保护法学	huanjingyuziyuanbaohufaxue
火炮自动武器与弹药工程	huopaozidongwuqiyudanyaogongcheng
基础兽医学	jichushouyixue
基础数学	jichushuxue
基础医学可授医学理学学位	jichuyixuekeshouyixuelixuexuewei
技术经济及管理	jishujingjijiguanli
计算机软件与理论	jisuanjiruanjianyulilun
计算机系统结构	jisuanjixitongjiegou
计算机应用技术	jisuanjiyingyongjishu
计算数学	jisuanshuxue
机械电子工程	jixiedianzigongcheng
机械工程	jixiegongcheng
机械设计及理论	jixieshejijililun
机械制造及其自动化	jixiezhizaojiqizidonghua
急诊医学	jizhenyixue
检测技术与自动化装置	jiancejishuyuzidonghuazhuangzhi
建筑技术科学	jianzhujishukexue
建筑历史与理论	jianzhulishiyulilun
建筑设计及其理论	jianzhushejijiqililun
交通信息工程及控制	jiaotongxinxigongchengjikongzhi
交通运输工程	jiaotongyunshugongcheng
交通运输规划与管理	jiaotongyunshuguihuayuguanli
教育技术学可授教育学理学学位	jiaoyujishuxuekeshoujiaoyuxuelixuexuewei
教育史	jiaoyushi
教育学原理	jiaoyuxueyuanli
结构工程	jiegougongcheng
金融学含保险学	jinrongxuehanbaoxianxue
经济法学	jingjifaxue
经济史	jingjishi
经济思想史	jingjisixiangshi
精密仪器及机械	jingmiyiqijijixie
精神病与精神卫生学	jingshenbingyujingshenweishengxue
军队管理学	junduiguanlixue
军队政治工作学	junduizhengzhigongzuoxue
军队指挥学	junduizhihuixue
军事法学教育学	junshifaxuejiaoyuxue
军事后勤学	junshihouqinxue
军事后勤学与军事装备学	junshihouqinxueyujunshizhuangbeixue
军事化学与烟火技术	junshihuaxueyuyanhuojishu
军事教育训练学含军事体育学	junshijiaoyuxunlianxuehanjunshitiyuxue
军事历史	junshilishi
军事情报学	junshiqingbaoxue
军事思想及军事历史	junshisixiangjijunshilishi
军事通信学	junshitongxinxue
军事学	junshixue
军事预防医学	junshiyufangyixue
军事运筹学	junshiyunchouxue
军事战略学	junshizhanluexue
军事装备学	junshizhuangbeixue
军事组织编制学	junshizuzhibianzhixue
军制学	junzhixue
军种战役学含第二炮兵战役学	junzhongzhanyixuehandierpaobingzhanyixue
康复医学与理疗学	kangfuyixueyuliliaoxue
课程与教学论	kechengyujiaoxuelun
科学技术哲学	kexuejishuzhexue
空间物理学	kongjianwulixue
控制科学与工程	kongzhikexueyugongcheng
控制理论与控制工程	kongzhililunyukongzhigongcheng
口腔基础医学	kouqiangjichuyixue
口腔临床医学	kouqianglinchuangyixue
口腔医学	kouqiangyixue
会计学	kuaijixue
矿产普查与勘探	kuangchanpuchayukantan
矿物加工工程	kuangwujiagonggongcheng
矿物学岩石学矿床学	kuangwuxueyanshixuekuangchuangxue
矿业工程	kuangyegongcheng
劳动经济学	laodongjingjixue
劳动卫生与环境卫生学	laodongweishengyuhuanjingweishengxue
老年医学	laonianyixue
理论经济学	lilunjingjixue
理论物理	lilunwuli
历史地理学	lishidilixue
历史文献学含敦煌学古文字学	lishiwenxianxuehandunhuangxueguwenzixue
历史学	lishixue
力学可授工学理学学位	lixuekeshougongxuelixuexuewei
粒子物理与原子核物理	liziwuliyuyuanzihewuli
联合战役学	lianhezhanyixue
