阿莫科国际石油公司	amokeguojishiyougongsi
埃斯卡测硫法	aisikaceliufa
暗点	andian
氨基酸分析器	anjisuanfenxiqi
安培计	anpeiji
安培小时计	anpeixiaoshiji
安全卡瓦	anquankawa
安全泄压阀	anquanxieyafa
暗色石油油料	anseshiyouyouliao
岸台网络	antaiwangluo
胺型表面活性剂	anxingbiaomianhuoxingji
氨氧化催化剂	anyanghuacuihuaji
安匝数	anzashu
奥别尔过磷酸钙	aobieerguolinsuangai
澳大利亚石油勘探协会	aodaliyashiyoukantanxiehui
奥利烷	aoliwan
凹陷	aoxian
巴林国家石油公司	balinguojiashiyougongsi
拔丝润滑剂	basirunhuaji
巴西石油公司	baxishiyougongsi
百米桩	baimizhuang
白土精制	baitujingzhi
柏油	baiyou
白云岩	baiyunyan
半合成沸石裂化催化剂	banhechengfeishiliehuacuihuaji
板块构造学	bankuaigouzaoxue
半潜式多用工作船	banqianshiduoyonggongzuochuan
伴热输送	banreshusong
半乳甘露聚糖	banruganlujutang
半深海相	banshenhaixiang
板式换热器	banshihuanreqi
薄层调谐	baocengtiaoxie
报废井	baofeijing
饱和度指数	baoheduzhishu
饱和凝析油	baoheningxiyou
饱和潜水系统	baoheqianshuixitong
饱和石油	baoheshiyou
饱和压力	baoheyali
保径钻头	baojingzuantou
包扎	baoza
爆炸机	baozhaji
爆炸灭火法	baozhamiehuofa
爆炸松扣	baozhasongkou
北极地区用油	beijidiquyongyou
北极石油经营者协会	beijishiyoujingyingzhexiehui
北美石油会计协会	beimeishiyoukuaijixiehui
背斜	beixie
背斜理论	beixielilun
苯胺点	benandian
苯加氢	benjiaqing
苯乙烯共聚物	benyixigongjuwu
苯与乙烯烷基化	benyuyixiwanjihua
泵冲速	bengchongsu
泵后加砂装置	benghoujiashazhuangzhi
泵理论排量	benglilunpailiang
泵送性	bengsongxing
闭合方位	bihefangwei
闭合面	bihemian
壁厚千分卡	bihouqianfenka
逼近相对效率	bijinxiangduixiaolv
变动水位式	biandongshuiweishi
变干的泥浆	biangandenijiang
扁平电缆	bianpingdianlan
边水	bianshui
变向器	bianxiangqi
边缘海	bianyuanhai
表层多次波	biaocengduocibo
表层速度异常	biaocengsuduyichang
标定罐	biaodingguan
表观耗氧量	biaoguanhaoyangliang
表观粘度	biaoguanniandu
表观容积密度	biaoguanrongjimidu
