吖啶橙	adingcheng
阿仑膦酸钠	alunlinsuanna
阿洛糖	aluotang
阿魏酸哌嗪	aweisuanpaiqin
氨二泵	anerbeng
氨二泥	anerni
氨二泥桶	anernitong
氨二泥压榨机	anerniyazhaji
氨分	anfen
氨分离器	anfenliqi
氨分器	anfenqi
氨罐	anguan
氨基安替比林	anjiantibilin
氨基半乳糖	anjibanrutang
氨基苯甲酰胺	anjibenjiaxianan
氨基苯乙酸	anjibenyisuan
氨基吡啶	anjibiding
氨基丙腈	anjibingjing
氨基蝶呤	anjidieling
氨基二苯胺	anjierbenan
氨基磺酸钴	anjihuangsuangu
氨基甲基丙醇	anjijiajibingchun
氨基联苯	anjilianben
氨基钠	anjina
氨基萘酚磺酸	anjinaifenhuangsuan
氨基偶氮苯	anjioudanben
氨基哌啶	anjipaiding
氨基羟基丁酸	anjiqiangjidingsuan
氨基青霉烷酸	anjiqingmeiwansuan
氨基噻唑	anjisaizuo
氨基噻唑啉	anjisaizuolin
氨基三乙酸	anjisanyisuan
氨基树脂	anjishuzhi
氨基水杨酸	anjishuiyangsuan
氨基酸氧化酶	anjisuanyanghuamei
氨基戊酸	anjiwusuan
氨基硝基噻唑	anjixiaojisaizuo
氨基烟酰胺	anjiyanxianan
氨基异丁酸	anjiyidingsuan
氨基乙酸	anjiyisuan
氨甲蝶呤	anjiadieling
氨碱法	anjianfa
氨冷	anleng
氨冷器	anlengqi
铵明矾	anmingfan
氨母液	anmuye
氨母液二泥泵	anmuyeernibeng
氨母液二桶	anmuyeertong
安全漏斗	anquanloudou
安全栅柜	anquanshangui
氨水	anshui
氨态氮	antaidan
氨吸收冷却器	anxishoulengqueqi
安息香双甲醚	anxixiangshuangjiami
安息香酸	anxixiangsuan
氨液分离器	anyefenliqi
八氟环丁烷	bafuhuandingwan
巴西棕榈蜡	baxizonglvla
白蛋白	baidanbai
白凡士林	baifanshilin
白糊精	baihujing
百里酚酞	bailifentai
白屈菜碱	baiqucaijian
白炭黑	baitanhei
半波电位	banbodianwei
半补强剂	banbuqiangji
半二甲酚橙	banerjiafencheng
板换	banhuan
半交换期	banjiaohuanqi
半胶束	banjiaoshu
半连续聚合	banlianxujuhe
半贫液	banpinye
半贫液泵	banpinyebeng
半贫液水冷器	banpinyeshuilengqi
半乳糖	banrutang
半乳糖苷	banrutanggan
半乳糖醛酸	banrutangquansuan
班氏试剂	banshishiji
半缩醛	bansuoquan
半微量分析	banweiliangfenxi
胞苷	baogan
胞苷磷酸	baoganlinsuan
饱和溶液	baoherongye
包合物	baohewu
饱和脂肪酸	baohezhifangsuan
保留体积	baoliutiji
包埋剂	baomaiji
背散射	beisanshe
倍他米松	beitamisong
备用阀	beiyongfa
苯胺	benan
苯丙氨酸	benbingansuan
苯丙氨酸氮芥	benbingansuandanjie
苯丙醇	benbingchun
苯并咪唑	benbingmizuo
苯丙酮	benbingtong
苯二甲酸	benerjiasuan
苯酚	benfen
苯磺酸	benhuangsuan
苯磺酰胺	benhuangxianan
苯磺酰氯	benhuangxianlv
苯基	benji
苯基苯并咪唑	benjibenbingmizuo
苯基苯甲酸	benjibenjiasuan
苯基丙醇	benjibingchun
苯基丙酸	benjibingsuan
苯基丙酮	benjibingtong
苯基甘氨酸	benjiganansuan
苯基甲烷	benjijiawan
苯基萘胺	benjinaian
苯基羟胺	benjiqiangan
苯基羟基丙酸	benjiqiangjibingsuan
苯基肉桂酸	benjirouguisuan
苯基乙二醇	benjiyierchun
苯基吲哚	benjiyinduo
苯甲醇	benjiachun
苯甲腈	benjiajing
苯甲醚	benjiami
苯甲醛	benjiaquan
苯甲醛磺酸钠	benjiaquanhuangsuanna
苯甲酸	benjiasuan
苯甲酸雌二醇	benjiasuancierchun
苯甲酸甲酯	benjiasuanjiazhi
苯甲酸钠	benjiasuanna
苯甲酸萘酯	benjiasuannaizhi
苯甲酸乙酯	benjiasuanyizhi
苯甲酰胺	benjiaxianan
苯甲酰苯胺	benjiaxianbenan
苯甲酰基	benjiaxianji
苯氯乙酮	benlvyitong
苯三酚	bensanfen
苯三甲酸	bensanjiasuan
本生灯	benshengdeng
苯妥英	bentuoying
本芴醇	benwuchun
苯氧乙酸	benyangyisuan
苯乙醇	benyichun
苯乙醛	benyiquan
苯乙酸	benyisuan
苯乙酸甲酯	benyisuanjiazhi
苯乙烯	benyixi
苯乙酰胺	benyixianan
苯茚二酮	benyinertong
苯佐卡因	benzuokayin
吡啶	biding
吡啶二羧酸	bidingersuosuan
吡啶磺酸	bidinghuangsuan
吡啶甲醇	bidingjiachun
吡啶甲酸	bidingjiasuan
吡啶羧酸	bidingsuosuan
吡哆酸	biduosuan
吡咯烷	biluowan
吡咯烷酮	biluowantong
吡喃糖	binantang
吡嗪	biqin
吡嗪酰胺	biqinxianan
比色法	bisefa
比色管	biseguan
比重瓶	bizhongping
吡唑	bizuo
苄氨基嘌呤	biananjipiaoling
变换炉	bianhuanlu
苄基苯胺	bianjibenan
编码数据	bianmashuju
变色硅胶	bianseguijiao
扁桃酸	biantaosuan
苄氧羰基	bianyangtangji
边缘效应	bianyuanxiaoying
标本瓶	biaobenping
标度	biaodu
标度因子	biaoduyinzi
标记原子	biaojiyuanzi
表面电势	biaomiandianshi
表面活性剂	biaomianhuoxingji
表面皿	biaomianmin
表面膜	biaomianmo
表面张力	biaomianzhangli
标准电池	biaozhundianchi
标准燃烧热	biaozhunranshaore
标准溶液	biaozhunrongye
标准误差	biaozhunwucha
标准状态	biaozhunzhuangtai
别嘌呤醇	biepiaolingchun
别苏氨酸	biesuansuan
丙氨酸	bingansuan
丙氨酰丙氨酸	binganxianbingansuan
丙醇酸	bingchunsuan
冰醋酸	bingcusuan
丙二胺	bingeran
丙二醇	bingerchun
丙二硫醇	bingerliuchun
丙二酸二甲酯	bingersuanerjiazhi
丙二烯	bingerxi
丙谷胺	bingguan
冰机	bingji
丙基苯基甲酮	bingjibenjijiatong
丙基戊酸	bingjiwusuan
丙硫基	bingliuji
丙炔基	bingqueji
丙三醇	bingsanchun
丙酸	bingsuan
丙酸苄酯	bingsuanbianzhi
丙酸钙	bingsuangai
丙酸钠	bingsuanna
丙酸内酯	bingsuanneizhi
丙酸乙酯	bingsuanyizhi
丙酮	bingtong
丙烷	bingwan
丙戊酸	bingwusuan
丙戊酸镁	bingwusuanmei
丙戊酸钠	bingwusuanna
丙烯醇	bingxichun
丙烯基	bingxiji
丙烯腈	bingxijing
丙烯酸	bingxisuan
丙烯酸丁酯	bingxisuandingzhi
丙烯酸甲酯	bingxisuanjiazhi
丙烯酸树脂	bingxisuanshuzhi
丙烯酸乙酯	bingxisuanyizhi
丙烯酰胺	bingxixianan
冰洲石	bingzhoushi
伯格斯矢量	bogesishiliang
玻璃化转变温度	bolihuazhuanbianwendu
玻璃漏斗	boliloudou
剥离强度	boliqiangdu
玻璃纤维	bolixianwei
菠萝蛋白酶	boluodanbaimei
泊洛沙姆	boluoshamu
菠萝香精	boluoxiangjing
不饱和聚酯	bubaohejuzhi
补充气	buchongqi
补充气氨冷器	buchongqianlengqi
补充水氨冷器	buchongshuianlengqi
布袋除尘器	budaichuchenqi
布雷菲德菌素	buleifeidejunsu
卟啉	bulin
补强剂	buqiangji
布氏漏斗	bushiloudou
采样管	caiyangguan
采样瓶	caiyangping
残液	canye
槽电压	caodianya
草甘膦	caoganlin
草酸	caosuan
草酸二甲酯	caosuanerjiazhi
草酸钴	caosuangu
草酸钾	caosuanjia
草酸钠	caosuanna
草酸氢钠	caosuanqingna
测定	ceding
长春碱	changchunjian
长春瑞滨	changchunruibin
长春新碱	changchunxinjian
肠激酶	changjimei
尝试法	changshifa
长石粉	changshifen
肠肽酶	changtaimei
场效应	changxiaoying
超导体	chaodaoti
超额化学势	chaoehuaxueshi
超滤	chaolv
超滤水箱	chaolvshuixiang
超滤增压泵	chaolvzengyabeng
超细碳酸钙	chaoxitansuangai
超氧化物	chaoyanghuawu
超正压	chaozhengya
沉淀泵	chendianbeng
沉淀剂	chendianji
沉淀聚合	chendianjuhe
陈化	chenhua
成本核算部	chengbenhesuanbu
成键配体	chengjianpeiti
称量瓶	chengliangping
澄清石灰水	chengqingshihuishui
澄清桶	chengqingtong|dengqingtong
驰放气	chifangqi
驰放气氨吸收塔	chifangqianxishouta
驰放气分离器	chifangqifenliqi
驰放气加热器	chifangqijiareqi
赤霉素	chimeisu
赤霉酸	chimeisuan
赤铁矿	chitiekuang
赤藓糖	chixiantang
赤血盐	chixueyan
赤血盐钠	chixueyanna
虫白蜡	chongbaila
重结晶	chongjiejing
重排反应	chongpaifanying
充液	chongye
稠厚器	chouhouqi
抽滤瓶	choulvping
抽气管	chouqiguan
除虫脲	chuchongniao
出碱槽	chujiancao
出碱调节阀	chujiantiaojiefa
出口阀	chukoufa
出口压力	chukouyali
触媒层	chumeiceng
储水槽	chushuicao
除盐水泵	chuyanshuibeng
除盐水箱	chuyanshuixiang
串碱	chuanjian
串碱螺旋输送机	chuanjianluoxuanshusongji
川蜡	chuanla
雌二醇	cierchun
磁化强度	cihuaqiangdu
刺槐豆胶	cihuaidoujiao
次黄嘌呤	cihuangpiaoling
次甲基蓝	cijiajilan
次磷酸	cilinsuan
次磷酸铵	cilinsuanan
次磷酸钙	cilinsuangai
次磷酸镁	cilinsuanmei
次磷酸钠	cilinsuanna
次磷酸镍	cilinsuannie
次氯酸	cilvsuan
次氯酸钙	cilvsuangai
次氯酸钠	cilvsuanna
次氯酸盐	cilvsuanyan
次没食子酸铋	cimeishizisuanbi
雌三醇	cisanchun
雌三醇甲醚	cisanchunjiami
次碳酸铋	citansuanbi
雌酮	citong
次硝酸铋	cixiaosuanbi
次亚磷酸钙	ciyalinsuangai
促进剂	cujinji
醋酸钙	cusuangai
醋酸铬	cusuange
醋酸钴	cusuangu
醋酸钾	cusuanjia
醋酸甲酯	cusuanjiazhi
醋酸镁	cusuanmei
醋酸锰	cusuanmeng
醋酸钠	cusuanna
醋酸铅	cusuanqian
醋酸铜	cusuantong
醋酸纤维素	cusuanxianweisu
醋酸盐	cusuanyan
醋酸乙烯	cusuanyixi
醋酸乙烯酯	cusuanyixizhi
醋酸乙酯	cusuanyizhi
醋硝香豆素	cuxiaoxiangdousu
催化重整	cuihuachongzheng
催化反应	cuihuafanying
催化活性	cuihuahuoxing
催化剂	cuihuaji
催化裂化	cuihualiehua
催化氧化	cuihuayanghua
催化作用	cuihuazuoyong
萃取柱	cuiquzhu
脆性断裂	cuixingduanlie
大孔吸附树脂	dakongxifushuzhi
大苏打	dasuda
大蒜素	dasuansu
袋除	daichu
蛋白质	danbaizhi
氮二段	danerduan
单峰	danfeng
单氟磷酸钠	danfulinsuanna
氮化处理	danhuachuli
氮化硼	danhuapeng
氮化物	danhuawu
蛋黄卵磷脂	danhuangluanlinzhi
氮基三乙酸	danjisanyisuan
胆碱酯酶试纸	danjianzhimeishizhi
胆绿素	danlvsu
氮鸟嘌呤	danniaopiaoling
单宁酸	danningsuan
丹皮酚	danpifen
氮气缓冲罐	danqihuanchongguan
氮气压力贮罐	danqiyalizhuguan
氮气压缩机	danqiyasuoji
氮三段	dansanduan
氮四段	dansiduan
胆酸钠	dansuanna
单萜	dantie
氮酮	dantong
氮烯	danxi
单斜晶系	danxiejingxi
氮液	danye
氮液蒸馏塔	danyezhengliuta
氮一段	danyiduan
胆甾烷醇	danzaiwanchun
单质	danzhi
单轴取向	danzhouquxiang
单组分系统	danzufenxitong
刀豆球蛋白	daodouqiudanbai
等焓过程	denghanguocheng
等量吸附热	dengliangxifure
低变废锅	dibianfeiguo
低变废热锅炉	dibianfeireguolu
低变炉	dibianlu
低变气	dibianqi
低变气分离器	dibianqifenliqi
低变气再沸器	dibianqizaifeiqi
低低报	didibao
碲锭	diding
滴定管	didingguan
滴定液	didingye
地氟可特	difukete
低共熔点	digongrongdian
低聚果糖	dijuguotang
低聚糖	dijutang
狄氏剂	dishiji
低温变换炉	diwenbianhuanlu
底物	diwu
地下槽泵	dixiacaobeng
低压洗氨泵	diyaxianbeng
低压洗氨塔	diyaxianta
低压蒸汽	diyazhengqi
地衣酚	diyifen
底釉	diyou
碘苯胺	dianbenan
碘酚	dianfen
碘化	dianhua
碘化铵	dianhuaan
碘化钡	dianhuabei
碘化钙	dianhuagai
碘化汞	dianhuagong
碘化钾	dianhuajia
碘化锂	dianhuali
碘化钠	dianhuana
碘化铅	dianhuaqian
碘化氢	dianhuaqing
碘化锌	dianhuaxin
电化学	dianhuaxue
电化学腐蚀	dianhuaxuefushi
碘化亚铜	dianhuayatong
碘化银	dianhuayin
点火装置	dianhuozhuangzhi
电极过程动力学	dianjiguochengdonglixue
电解槽	dianjiecao
电解池	dianjiechi
电解腐蚀	dianjiefushi
电解提取	dianjietiqu
电解液	dianjieye
电解质	dianjiezhi
电解质溶液	dianjiezhirongye
碘酪氨酸	dianlaoansuan
电离能	dianlineng
电离平衡	dianlipingheng
电流效率	dianliuxiaolv
碘脲嘧啶	dianniaomiding
碘尿嘧啶	dianniaomiding
电气车间	dianqichejian
电气石	dianqishi
点缺陷	dianquexian
碘十六烷	dianshiliuwan
碘酸钡	diansuanbei
碘酸钙	diansuangai
碘酸钾	diansuanjia
碘酸钠	diansuanna
碘脱氧尿苷	diantuoyangniaogan
靛胭脂	dianyanzhi
碘乙酸	dianyisuan
靛玉红	dianyuhong
碘值	dianzhi
电子捕获检测器	dianzibuhuojianceqi
电子测量与仪器	dianziceliangyuyiqi
电子天平	dianzitianping
电子相关	dianzixiangguan
电子效应	dianzixiaoying
叠氮化钠	diedanhuana
丁胺卡那霉素	dingankanameisu
丁苯橡胶	dingbenxiangjiao
丁醇	dingchun
丁二醇	dingerchun
丁二酸	dingersuan
丁二酮	dingertong
丁二烯	dingerxi
丁二酰亚胺	dingerxianyaan
丁基橡胶	dingjixiangjiao
丁腈橡胶	dingjingxiangjiao
定量分析	dingliangfenxi
丁醚脲	dingminiao
丁酸苄酯	dingsuanbianzhi
丁酸丁酯	dingsuandingzhi
丁酸异戊酯	dingsuanyiwuzhi
丁酸乙酯	dingsuanyizhi
丁酮	dingtong
丁烷	dingwan
丁烷四羧酸	dingwansisuosuan
丁烯腈	dingxijing
丁香酚	dingxiangfen
丁香油酚	dingxiangyoufen
定型水	dingxingshui
丁酯	dingzhi
冻干血浆	dongganxuejiang
独居石	dujushi
毒毛旋花苷	dumaoxuanhuagan
短杆菌肽	duanganjuntai
断裂力学	duanlielixue
断裂韧性	duanlierenxing
煅烧楼	duanshaolou
端子板柜	duanzibangui
端子柜	duanzigui
端子号	duanzihao
对氨基苯磺酸	duianjibenhuangsuan
对氨基苯甲酸	duianjibenjiasuan
对氨基偶氮苯	duianjioudanben
对氨基水杨酸	duianjishuiyangsuan
对苯二胺	duibeneran
对苯二酚	duibenerfen
对苯二甲酸	duibenerjiasuan
对苄氧基苯酚	duibianyangjibenfen
对二甲苯	duierjiaben
对二氯苯	duierlvben
对甲苯胺	duijiabenan
对甲苯磺酰胺	duijiabenhuangxianan
对甲酚	duijiafen
对甲氧基苯甲醛	duijiayangjibenjiaquan
对甲氧基苄胺	duijiayangjibianan
对氯苯甲酰氯	duilvbenjiaxianlv
堆密度	duimidu
对羟基苯甲酸	duiqiangjibenjiasuan
对伞花烃	duisanhuating
对三联苯	duisanlianben
对硝基苯胺	duixiaojibenan
对硝基甲苯	duixiaojijiaben
对异丙基甲苯	duiyibingjijiaben
对峙反应	duizhifanying
钝化	dunhua
多聚甲醛	duojujiaquan
多聚糖	duojutang
多孔层空心柱	duokongcengkongxinzhu
多硫化铵	duoliuhuaan
多氯联苯	duolvlianben
多效蒸发器	duoxiaozhengfaqi
惰性电极	duoxingdianji
惰性气体	duoxingqiti
惰性填料	duoxingtianliao
多元酸	duoyuansuan
鹅膏蕈碱	egaoxunjian
俄歇电子能谱学	exiedianzinengpuxue
莪术油	ezhuyou
蒽醌	enkun
二氨分	eranfen
二氨基二苯砜	eranjierbenfeng
二氨基二苯醚	eranjierbenmi
二氨基庚二酸	eranjigengersuan
二氨基联苯	eranjilianben
二氨基联苯胺	eranjilianbenan
二氨基萘	eranjinai
二氨冷	eranleng
二苯胺	erbenan
二苯胺磺酸钠	erbenanhuangsuanna
二苯砜	erbenfeng
二苯基蒽	erbenjien
二苯甲酮	erbenjiatong
二苯卡巴肼	erbenkabajing
二苯醚	erbenmi
儿茶酚	erchafen
二次风机	ercifengji
二次风门	ercifengmen
二碘丙醇	erdianbingchun
二碘甲腺氨酸	erdianjiaxianansuan
二碘酪氨酸	erdianlaoansuan
二碘荧光素	erdianyingguangsu
二丁基甲酰胺	erdingjijiaxianan
二段炉	erduanlu
二段转换炉	erduanzhuanhuanlu
二恶英	ereying
二氟苯胺	erfubenan
二氟苯硼酸	erfubenpengsuan
二氟二氯甲烷	erfuerlvjiawan
二氟二硝基苯	erfuerxiaojiben
二氟化锰	erfuhuameng
二氟溴苯	erfuxiuben
二氟一氯甲烷	erfuyilvjiawan
二甘醇	erganchun
二过程	erguocheng
二环庚二烯	erhuangengerxi
二甲胺	erjiaan
二甲氨基	erjiaanji
二甲氨基乙醇	erjiaanjiyichun
二甲苯	erjiaben
二甲苯胺	erjiabenan
二甲苄醇	erjiabianchun
二甲酚橙	erjiafencheng
二甲基苯胺	erjiajibenan
二甲基苯并蒽	erjiajibenbingen
二甲基苯酚	erjiajibenfen
二甲基吡啶	erjiajibiding
二甲基吡嗪	erjiajibiqin
二甲基丁二烯	erjiajidingerxi
二甲基庚酮	erjiajigengtong
二甲基庚烷	erjiajigengwan
二甲基甲酰胺	erjiajijiaxianan
二甲基萘	erjiajinai
二甲基萘胺	erjiajinaian
二甲基硝基苯	erjiajixiaojiben
二甲基亚砜	erjiajiyafeng
二甲基乙胺	erjiajiyian
二甲基乙酰胺	erjiajiyixianan
二甲醚	erjiami
二聚环戊二烯	erjuhuanwuerxi
二聚酸	erjusuan
二磷酸甘油酸	erlinsuanganyousuan
二硫代苏糖醇	erliudaisutangchun
二硫化钼	erliuhuamu
二硫化碳	erliuhuatan
二硫化硒	erliuhuaxi
二硫苏糖醇	erliusutangchun
二氯苯酚	erlvbenfen
