赫梯王国	hetiwangguo
商王国	shangwangguo
周王国	zhouwangguo
亚述帝国	yashudiguo
新巴比伦王国	xinbabilunwangguo
波斯帝国	bosidiguo
亚历山大帝国	yalishandadiguo
秦帝国	qindiguo
孔雀帝国	kongquediguo
汉帝国	handiguo
世纪左右	shijizuoyou
至公元前	zhigongyuanqian
年波斯	nianbosi
灭亡埃及	miewangaiji
尼罗河下游地区	niluohexiayoudequ
埃及文明	aijiwenming
古埃及	guaiji
水力帝国	shuilidiguo
第一王朝	diyiwangchao
美尼斯	meinisi
到卡	daoka
位法老	weifalao
第二王朝	dierwangchao
霍特普司克摩伊	huotepusikemoyi
卡斯克摩	kasikemo
共有六	gongyouliu
古王国	guwangguo
孟斐斯帝国	mengfeisidiguo
第三王朝	disanwangchao
纳特里克特	natelikete
吉塞	jisai
胡尼	huni
共有五	gongyouwu
位国王	weiguowang
焦瑟	jiaose
沙卡拉	shakala
阶梯金字塔建筑群	jietijinzitajianzhuqun
石头建筑	shitoujianzhu
伊姆荷泰普	yimuhetaipu
中央集权君主制	zhongyangjiquanjunzhuzhi
孟斐斯	mengfeisi
各省总督	geshengzongdu
统治全国	tongzhiquanguo
古希腊文明	guxilawenming
爱琴海地区	aiqinhaidiqu
克里特文明	kelitewenming
迈锡尼文明	maixiniwenming
另一支	lingyizhi
多利亚人	duoliyaren
毁灭了	huimiele
希腊历史	xilalishi
黑暗时代	heianshidai
荷马史诗	hemashishi
荷马时代	hemashidai
荷马时代末期	hemashidaimoqi
海上贸易	haishangmaoyi
城邦国家	chengbangguojia
腓尼基字母	feinijizimu
奥林匹克运动会	aolinpikeyundonghui
兴盛时期	xingshengshiqi
向外殖民	xiangwaizhimin
希腊城邦	xilachengbang
小亚细亚	xiaoyaxiya
和北非	hebeifei
地中海沿岸	dizhonghaiyanan
诸城邦	zhuchengbang
势力最大的	shilizuidade
是斯巴达	shisibada
和雅典	heyadian
苏拉	sula
克拉苏	kelasu
庞培	pangpei
当选为	dangxuanwei
执政官	zhizhengguan
斯巴达克斯	sibadakesi
奴隶起义	nuliqiyi
将领结盟	jianglingjiemeng
盖尤斯	gaiyousi
尤利乌斯	youliwusi
恺撒	kaisa
古城名	guchengming
迦太基	jiataiji
