博学的	boxuede
沉着的	chenzhuode
聪明的	congmingde
大胆的	dadande
独立的	dulide
富有创造力的	fuyouchuangzaolide
负责的	fuzede
公正的	gongzhengde
好斗的	haodoude
和蔼可亲的	heaikeqinde
活泼的	huopode
活跃的	huoyuede
俭朴的	jianpude
建设性的	jianshexingde
谨慎的	jinshende
尽职的	jinzhide
精力充沛的	jinglichongpeide
慷慨的	kangkaide
客观的	keguande
可靠的	kekaode
宽宏大量的	kuanhongdaliangde
老练的	laoliande
乐观的	leguande
敏悟的	minwude
明白事理的	mingbaishilide
能干的	nenggande
能胜任的	nengshengrende
谦虚的	qianxude
勤奋的	qinfende
认真的	renzhende
善于表达的	shanyubiaodade
善于分析的	shanyufenxide
实事求是的	shishiqiushide
适应性强的	shiyingxingqiangde
受过良好教育的	shouguolianghaojiaoyude
守纪律的	shoujilvde
顺从的	shuncongde
坦诚的	tanchengde
坦率的	tanshuaide
条理分明的	tiaolifenmingde
外向的	waixiangde
稳健的	wenjiande
温柔的	wenroude
心胸狭窄的	xinxiongxiazhaide
性情温和的	xingqingwenhede
严守时刻的	yanshoushikede
一丝不苟的	yisibugoude
殷勤的	yinqinde
阴郁的	yinyude
有动机的	youdongjide
有独创性的	youduchuangxingde
有方法的	youfangfade
有奉献精神的	youfengxianjingshende
友好的	youhaode
有合作精神的	youhezuojingshende
幽默的	youmode
有目的的	youmudide
有能力的	younenglide
有效率的	youxiaolvde
有雄心壮志的	youxiongxinzhuangzhide
有志气的	youzhiqide
忠诚的	zhongchengde
孜孜不倦的	zizibujuande
