阿代尔	adaier
爱因斯坦	aiyinsitan
爱因斯坦方程	aiyinsitanfangcheng
爱因斯坦关系	aiyinsitanguanxi
暗电流	andianliu
安培	anpei
安培计	anpeiji
安培力	anpeili
安全装置	anquanzhuangzhi
安匝数	anzashu
奥斯特	aosite
凹凸透镜	aotutoujing
八木天线	bamutianxian
摆动	baidong
白洞	baidong
白噪声	baizaosheng
半波偶极子	banbooujizi
半导电聚合物	bandaodianjuhewu
半导体	bandaoti
半导体存储器	bandaoticunchuqi
半导体二极管	bandaotierjiguan
半导体激光器	bandaotijiguangqi
半金属	banjinshu
半球体	banqiuti
半衰期	banshuaiqi
半音音阶	banyinyinjie
半影	banying
曝光量	baoguangliang
饱和态	baohetai
饱和蒸汽压	baohezhengqiya
保守力	baoshouli
薄透镜	baotoujing
保险丝额定值	baoxiansiedingzhi
爆炸波	baozhabo
保真度	baozhendu
被测电阻	beicedianzu
贝尔	beier
倍频程	beipincheng
背压	beiya
本底	bendi
本生灯	benshengdeng
本影	benying
本征层	benzhengceng
本征值	benzhengzhi
泵浦方式	bengpufangshi
比表面积	bibiaomianji
闭合回路	bihehuilu
避雷器	bileiqi
避雷针	bileizhen
比热	bire
比热容	birerong
比容	birong
比重	bizhong
比重瓶	bizhongping
变磁性	biancixing
边带	biandai
边界摩擦	bianjiemoca
边界润滑	bianjierunhua
边界条件	bianjietiaojian
变力作用	bianlizuoyong
变量	bianliang
编码	bianma
编码器	bianmaqi
变频器	bianpinqi
变容二极管	bianrongerjiguan
变速运动	biansuyundong
变形体	bianxingti
变旋	bianxuan
变压器	bianyaqi
编译程序	bianyichengxu
边缘聚焦	bianyuanjujiao
边缘效应	bianyuanxiaoying
变阻器	bianzuqi
标度	biaodu
标度因子	biaoduyinzi
标量	biaoliang
表面波	biaomianbo
表面粗糙度	biaomiancucaodu
表面电势	biaomiandianshi
表面电阻	biaomiandianzu
表面活性物质	biaomianhuoxingwuzhi
表面扩散	biaomiankuosan
表面密度	biaomianmidu
表面能	biaomianneng
表面色	biaomianse
