aertaishan 阿尔泰山
aiguojingshen 爱国精神
aiguorenshi 爱国人士
aiguoreqing 爱国热情
aiguoweisheng 爱国卫生
aiguoyundong 爱国运动
aiguozhishi 爱国志士
aiguozhuyi 爱国主义
aihaoheping 爱好和平
aiqinggushi 爱情故事
aiqingxiju 爱情喜剧
aixirencai 爱惜人才
aizengfenming 爱憎分明
alashankou 阿拉山口
alibaba 阿里巴巴
ananjingjing 安安静静
ananwenwen 安安稳稳
andingtuanjie 安定团结
anduzhilao 案牍之劳
angshoukuobu 昂首阔步
angshoutingxiong 昂首挺胸
anjialuohu 安家落户
anjiancailiao 案件材料
anjianxiansuo 案件线索
anjingxialai 安静下来
anjugongcheng 安居工程
anjuleye 安居乐业
anniukaiguan 按钮开关
anquanbiaozhi 安全标志
anquancelve 安全策略
anquancuoshi 安全措施
anquandianya 安全电压
anquanjiancha 安全检查
anquanjianguan 安全监管
anquankekao 安全可靠
anquanloudong 安全漏洞
anquanqinang 安全气囊
anquanshebei 安全设备
anquanshigu 安全事故
anquanshijian 安全事件
anquanweisheng 安全卫生
anquanxingshi 安全形势
anquanxishu 安全系数
anquanyinhuan 安全隐患
anquanyishi 安全意识
anranwuyang 安然无恙
anshenliming 安身立命
anweilengnuan 安危冷暖
anyuxianzhuang 安于现状
anzhigongzuo 安置工作
anzhongmosuo 暗中摸索
anzhuangwenjian 安装文件
aomanwuli 傲慢无礼
aomiaowuqiong 奥妙无穷
aorantingli 傲然挺立
aotubuping 凹凸不平
aoyoutaikong 遨游太空
babamama 爸爸妈妈
badahutong 八大胡同
bafenyinfu 八分音符
bahebisai 拔河比赛
baifacangcang 白发苍苍
baifeiliqi 白费力气
baifenzhiyi 百分之一
baihuadiaoling 百花凋零
baihuaqifang 百花齐放
baihuashengkai 百花盛开
baihuodalou 百货大楼
baihuogongsi 百货公司
baihuoshangchang 百货商场
baihuoshangdian 百货商店
baijiazhengming 百家争鸣
baikequanshu 百科全书
baikezhishi 百科知识
baimisaipao 百米赛跑
bainiandaji 百年大计
bainianyiyu 百年一遇
bainianzhanzheng 百年战争
bainianzhihou 百年之后
bairiweixin 百日维新
baiseqiyi 百色起义
baisewuran 白色污染
baisuilaoren 百岁老人
baitianheiye 白天黑夜
baitouxielao 白头偕老
baituokunjing 摆脱困境
baiwanfuweng 百万富翁
baiwanqianwa 百万千瓦
baiwanxiongshi 百万雄师
baiwuliaolai 百无聊赖
baixingshenghuo 百姓生活
baixueaiai 白雪皑皑
baixuegongzhu 白雪公主
baiyitianshi 白衣天使
baiyizhanshi 白衣战士
baizaimianqian 摆在面前
baizaiqianmian 摆在前面
baizaishouwei 摆在首位
baleiwuju 芭蕾舞剧
baleiwutuan 芭蕾舞团
baleiwuzhe 芭蕾舞者
balidaxue 巴黎大学
baligongshe 巴黎公社
banbufalv 颁布法律
banbushishi 颁布实施
bangeshiji 半个世纪
bangongdalou 办公大楼
bangonghuiyi 办公会议
bangongshebei 办公设备
bangongyongpin 办公用品
bangpaitixi 帮派体系
bangwanshihou 傍晚时候
bangzhuwenjian 帮助文件
banjiangdianli 颁奖典礼
banjiangyishi 颁奖仪式
banmiansheji 版面设计
banquansuoyou 版权所有
banshijigou 办事机构
banshixiaolv 办事效率
banshuyishang 半数以上
bansibuhuo 半死不活
baobanhunyin 包办婚姻
baochandaohu 包产到户
baochichenmo 保持沉默
baochijingti 保持警惕
baochilianxi 保持联系
baochipingheng 保持平衡
baochiqingjie 保持清洁
baochiwending 保持稳定
baochiyizhi 保持一致
baochizhongli 保持中立
baocunqilai 保存起来
baogangjituan 宝钢集团
baogaowenxue 报告文学
baoguicaifu 宝贵财富
baoguijihui 宝贵机会
baoguishijian 宝贵时间
baoguiyijian 宝贵意见
baoherongye 饱和溶液
baohezhuangtai 饱和状态
baohucuoshi 保护措施
baohufangshi 保护方式
baohuhuanjing 保护环境
baohushili 保护视力
baohuyishi 保护意识
baohuzhuangzhi 保护装置
baohuzhuyi 保护主义
baojianshipin 保健食品
baojianzhishi 保健知识
baojianzuoyong 保健作用
baojingcangsang 饱经沧桑
baojingfengshuang 饱经风霜
baojingxinhao 报警信号
baojingzhuangzhi 报警装置
baokanshuji 报刊书籍
baokanzazhi 报刊杂志
baoligeming 暴力革命
baolishijian 暴力事件
baolishouduan 暴力手段
baoliujiemu 保留节目
baoluowanxiang 包罗万象
baomigongzuo 保密工作
baonvewudao 暴虐无道
baoshizhongri 饱食终日
baoshoushili 保守势力
baoshouzhuyi 保守主义
baotoutongku 抱头痛哭
baoweiguojia 保卫国家
baoweiheping 保卫和平
baoweiqilai 包围起来
baoweizuguo 保卫祖国
baowencailiao 保温材料
baowenjiaohuan 报文交换
baoxiangongsi 保险公司
baoxianjine 保险金额
baoxiantiaoli 保险条例
baoxianzhidu 保险制度
baoxianzhuangzhi 保险装置
baoxiaozuguo 报效祖国
baoyouchuliang 保有储量
baoyuchengzai 暴雨成灾
baozhangjizhi 保障机制
baozhangrenquan 保障人权
baozhangtixi 保障体系
baozhangxitong 保障系统
baozhangzhidu 保障制度
baozhengxitong 保证系统
baozhengzhiliang 保证质量
baozhuangcailiao 包装材料
baozhuanggongren 包装工人
baqizidi 八旗子弟
baquanzhuyi 霸权主义
bashanyeyu 巴山夜雨
bashihaixia 巴士海峡
bashiniandai 八十年代
bashiwusui 八十五岁
baxiangzhuyi 八项注意
baxiliya 巴西利亚
beibiwuchi 卑鄙无耻
beicanshenghuo 悲惨生活
beicanshijie 悲惨世界
beicanzaoyu 悲惨遭遇
beidaxiyang 北大西洋
beidongaida 被动挨打
beidongyutai 被动语态
beidouqixing 北斗七星
beifangdiqu 北方地区
beifangfangyan 北方方言
beifanglingtu 北方领土
beifazhanzheng 北伐战争
beifenwenjian 备份文件
beiguanlundiao 悲观论调
beiguanshiwang 悲观失望
beiguofengguang 北国风光
beihaigongyuan 北海公园
beihaijiandui 北海舰队
beihuanlihe 悲欢离合
beijingdaxue 北京大学
beijingdiqu 北京地区
beijingditie 北京地铁
beijingfandian 北京饭店
beijinggugong 北京故宫
beijinghuayuan 北京画院
beijingjiaoqu 北京郊区
beijingjietou 北京街头
beijingjunqu 北京军区
beijingkaoya 北京烤鸭
beijingribao 北京日报
beijingshimin 北京市民
beijingxizhan 北京西站
beijingyinyue 背景音乐
beijuchongyan 悲剧重演
