阿姆可铁	amuketie
埃伯斯	aibosi
按比例缩小	anbilisuoxiao
暗电流	andianliu
暗电平	andianping
暗放电	anfangdian
氨空气燃料电池	ankongqiranliaodianchi
按钮开关	anniukaiguan
安培表	anpeibiao
安全通信	anquantongxin
安全性	anquanxing
安全遥控	anquanyaokong
安全指令	anquanzhiling
暗视觉	anshijue
按时图案控制	anshituankongzhi
按需分配	anxufenpei
奥罗管	aoluoguan
奥米伽段同步	aomijiaduantongbu
拔出力	bachuli
靶孔	bakong
八木天线	bamutianxian
巴特沃思滤波器	batewosilvboqi
靶形	baxing
白炽显示	baichixianshi
白平衡	baipingheng
白噪声	baizaosheng
板边插头	banbianchatou
半导体	bandaoti
半导体玻璃	bandaotiboli
半导体场效晶体管	bandaotichangxiaojingtiguan
半导体激光放大器	bandaotijiguangfangdaqi
半导体激光器	bandaotijiguangqi
半导体敏感器	bandaotiminganqi
半导体探测器	bandaotitanceqi
半导体陶瓷	bandaotitaoci
斑点效应	bandianxiaoying
半定制集成电路	bandingzhijichengdianlu
半共焦谐振腔	bangongjiaoxiezhenqiang
半功率点	bangonglvdian
半共心谐振腔	bangongxinxiezhenqiang
半节网络	banjiewangluo
板翘	banqiao
半双工	banshuanggong
伴随模型	bansuimoxing
伴随信源	bansuixinyuan
半透明光阴极	bantoumingguangyinji
板弯	banwan
半永磁材料	banyongcicailiao
半有源制导	banyouyuanzhidao
板装连接器	banzhuanglianjieqi
半自动丝印机	banzidongsiyinji
薄层电阻	baocengdianzu
包层模消除器	baocengmoxiaochuqi
暴沸	baofei
保管期	baoguanqi
曝光	baoguang
饱和参量	baohecanliang
饱和电抗器	baohediankangqi
保护放电管	baohufangdianguan
保护环	baohuhuan
保活	baohuo
包交换网	baojiaohuanwang
暴力式聚焦	baolishijujiao
包络	baoluo
包络检波	baoluojianbo
保密电话通信系统	baomidianhuatongxinxitong
保密量	baomiliang
保密容量	baomirongliang
保密体制	baomitizhi
保密通信	baomitongxin
保密系统	baomixitong
保密学	baomixue
保密指令	baomizhiling
爆腾	baoteng
报文	baowen
报文交换	baowenjiaohuan
保温阴极	baowenyinji
保险期	baoxianqi
保真度	baozhendu
钡长石瓷	beichangshici
背场太阳电池	beichangtaiyangdianchi
被动锁模	beidongsuomo
被动显示	beidongxianshi
贝弗里奇天线	beifuliqitianxian
背景辐射	beijingfushe
背景起伏	beijingqifu
贝里斯分布	beilisifenbu
倍频	beipin
倍频程	beipincheng
倍频链	beipinlian
倍频器	beipinqi
背射天线	beishetianxian
北向参考脉冲	beixiangcankaomaichong
倍增极	beizengji
倍增系统	beizengxitong
倍增因子	beizengyinzi
本底掺杂	bendichanza
本地网	bendiwang
本底载流子	bendizailiuzi
本地振荡器	bendizhendangqi
本机振荡器	benjizhendangqi
本原码	benyuanma
本征	benzheng
本征半导体	benzhengbandaoti
本征电致发光	benzhengdianzhifaguang
本征吸杂工艺	benzhengxizagongyi
本征载流子	benzhengzailiuzi
本质失效	benzhishixiao
泵工作液	benggongzuoye
泵浦	bengpu
泵浦速率	bengpusulv
泵浦速率分布	bengpusulvfenbu
泵浦效率	bengpuxiaolv
崩越二极管	bengyueerjiguan
比电容	bidianrong
比幅单脉冲	bifudanmaichong
比功率	bigonglv
壁挂电视	biguadianshi
闭管真空扩散	biguanzhenkongkuosan
笔划显示	bihuaxianshi
闭环	bihuan
闭环带宽	bihuandaikuan
闭环控制	bihuankongzhi
闭环频率响应	bihuanpinlvxiangying
比例指令	bilizhiling
比率鉴频器	bilvjianpinqi
比能量	binengliang
比容量	birongliang
比损耗因数	bisunhaoyinshu
比相单脉冲	bixiangdanmaichong
比相定位	bixiangdingwei
壁效应	bixiaoying
笔形波束天线	bixingboshutianxian
逼真度	bizhendu
比值计	bizhiji
边瓣	bianban
变长码	bianchangma
边带	biandai
变换增益	bianhuanzengyi
边界层	bianjieceng
变距阵	bianjuzhen
遍历信源	bianlixinyuan
编码	bianma
编码定理	bianmadingli
编码发射机	bianmafasheji
变频	bianpin
变频器	bianpinqi
变频振动试验	bianpinzhendongshiyan
扁平电缆	bianpingdianlan
扁平封装	bianpingfengzhuang
扁平阴极射线管	bianpingyinjishexianguan
边墙电容	bianqiangdianrong
变容二极管	bianrongerjiguan
变容管	bianrongguan
变容真空泵	bianrongzhenkongbeng
辨识	bianshi
边搜索边跟踪	biansousuobiangenzong
边图	biantu
变象管	bianxiangguan
扁形电池	bianxingdianchi
变压比	bianyabi
变压器	bianyaqi
变压器耦合放大器	bianyaqiouhefangdaqi
编译码器	bianyimaqi
边缘效应	bianyuanxiaoying
鞭状天线	bianzhuangtianxian
标称电容	biaochengdianrong
标称电压	biaochengdianya
标称电阻值	biaochengdianzuzhi
标称容量	biaochengrongliang
标定	biaoding
表观磁导率	biaoguancidaolv
表观品质因数	biaoguanpinzhiyinshu
表决系统	biaojuexitong
表面安装电感器	biaomiananzhuangdianganqi
表面安装技术	biaomiananzhuangjishu
表面安装器件	biaomiananzhuangqijian
表面安装元件	biaomiananzhuangyuanjian
表面波	biaomianbo
表面波天线	biaomianbotianxian
表面反型层	biaomianfanxingceng
表面反应控制	biaomianfanyingkongzhi
表面复合	biaomianfuhe
表面沟道	biaomiangoudao
表面耗尽层	biaomianhaojinceng
表面积累层	biaomianjileiceng
表面浓度	biaomiannongdu
表面势	biaomianshi
表面态	biaomiantai
表示层	biaoshiceng
标图板	biaotuban
标准白	biaozhunbai
标准单元	biaozhundanyuan
标准单元法	biaozhundanyuanfa
标准罗兰	biaozhunluolan
标准太阳电池	biaozhuntaiyangdianchi
标准条件	biaozhuntiaojian
标准阻止截面	biaozhunzuzhijiemian
宾主效应	binzhuxiaoying
丙类放大器	bingleifangdaqi
病人监护仪	bingrenjianhuyi
并行数据	bingxingshuju
波瓣	boban
波参数	bocanshu
波长	bochang
波长计	bochangji
波导	bodao
波导波长	bodaobochang
波导窗	bodaochuang
波导管	bodaoguan
波导开关	bodaokaiguan
波导膜片	bodaomopian
波导色散	bodaosesan
波导式气体激光器	bodaoshiqitijiguangqi
波导调配器	bodaotiaopeiqi
伯德图	bodetu
波动方程	bodongfangcheng
波尔兹曼	boerziman
波分复用	bofenfuyong
波分复用器	bofenfuyongqi
伯格斯矢量	bogesishiliang
伯格算法	bogesuanfa
泊管	boguan
薄基板	bojiban
波尖漏过能量	bojianlouguonengliang
玻壳	boke
玻璃半导体	bolibandaoti
波粒二相性	bolierxiangxing
玻璃封装	bolifengzhuang
剥离技术	bolijishu
玻璃纤维布	bolixianweibu
薄膜唱片	bomochangpian
薄膜电感器	bomodianganqi
薄膜淀积	bomodianji|baomodianji
薄膜电致发光	bomodianzhifaguang
薄膜混合	baomohunhe|bomohunhe
薄膜混合集成电路	bomohunhejichengdianlu
薄膜晶体	baomojingti|bomojingti
薄膜晶体管	bomojingtiguan|baomojingtiguan
薄膜太阳电池	bomotaiyangdianchi
薄膜阴极	bomoyinji
剥谱	bopu
波前	boqian
波前再现	boqianzaixian
薄栅氧化层	boshanyanghuaceng
波束角	boshujiao
波束宽度	boshukuandu
波束雷达	boshuleida
波束立体角	boshulitijiao
波束天线	boshutianxian
波束调向	boshutiaoxiang
波束形状因数	boshuxingzhuangyinshu
波数字滤波器	boshuzilvboqi
波特	bote
玻特喇叭	botelaba
箔条包	botiaobao
箔条云	botiaoyun
箔条走廊	botiaozoulang
波纹喇叭	bowenlaba
箔线	boxian
波形分析器	boxingfenxiqi
波形合成器	boxinghechengqi
波形监视器	boxingjianshiqi
波形松弛法	boxingsongchifa
波阻抗	bozukang
补偿半导体	buchangbandaoti
补偿电离室	buchangdianlishi
补偿定理	buchangdingli
补偿运放	buchangyunfang
补偿杂质	buchangzazhi
