暗线	anxian
暗喻	anyu
八分	bafen
八体	bati
白描	baimiao
褒义词	baoyici
包孕式结构	baoyunshijiegou
被动句	beidongju
背景	beijing
背面铺粉	beimianpufen
悲与喜	beiyuxi
本论	benlun
本义	benyi
本质与现象	benzhiyuxianxiang
比	bi
避复格	bifuge
笔画	bihua
比较	bijiao
比较法	bijiaofa
比较说明	bijiaoshuoming
比况词组	bikuangcizu
比拟	bini
比拟格	binige
必然否定判断	biranfoudingpanduan
必然肯定判断	birankendingpanduan
笔顺	bishun
比兴	bixing
必要条件假言判断	biyaotiaojianjiayanpanduan
比喻	biyu
笔语	biyu
比喻格	biyuge
比喻义	biyuyi
壁中书	bizhongshu
变理	bianli
变式句	bianshiju
辨体	bianti
变形	bianxing
变形法	bianxingfa
辨异	bianyi
变意	bianyi
贬义词	bianyici
辩证思维	bianzhengsiwei
表层结构与深层结构	biaocengjiegouyushencengjiegou
标点符号	biaodianfuhao
标点符号的位置	biaodianfuhaodeweizhi
标题	biaoti
表象	biaoxiang
表象的变异	biaoxiangdebianyi
表象的联想	biaoxiangdelianxiang
表象的深化	biaoxiangdeshenhua
表象运动	biaoxiangyundong
表形文字	biaoxingwenzi
表意文字	biaoyiwenzi
表音文字	biaoyinwenzi
宾语	binyu
宾主	binzhu
并列复句	bingliefuju
并列式	binglieshi
驳论	bolun
博喻	boyu
补笔	bubi
补充词组	buchongcizu
卜辞	buci
补法	bufa
部分与整体	bufenyuzhengti
布格	buge
不及物动词	bujiwudongci
布局	buju
不矛盾律	bumaodunlv
不容间位律	burongjianweilv
部首	bushou
不完全的反笔	buwanquandefanbi
不相容选言判断	buxiangrongxuanyanpanduan
补叙	buxu
补语	buyu
材料	cailiao
材料的鉴别	cailiaodejianbie
材料的开拓	cailiaodekaituo
彩线穿珠法	caixianchuanzhufa
藏词格	cangcige
藏与露	cangyulu
草蛇灰线法	caoshehuixianfa
草书	caoshu
侧笔	cebi
侧面描写	cemianmiaoxie
侧向信息素材	cexiangxinxisucai
层次	cengci
层递格	cengdige
插笔	chabi
差别性与共同性	chabiexingyugongtongxing
插入语	charuyu
插说	chashuo
插叙	chaxu
差异法	chayifa
蝉联格	chanliange
长短	changduan
场面描写	changmianmiaoxie
常式句	changshiju
超句体	chaojuti
超前夸张	chaoqiankuazhang
超时空顺序结构	chaoshikongshunxujiegou
衬笔	chenbi
陈述句	chenshuju
衬贴	chentie
衬托	chentuo
衬字格	chenzige
程度不等的比喻	chengdubudengdebiyu
成语	chengyu
充分条件假言判断	chongfentiaojianjiayanpanduan
重复	chongfu
冲突	chongtu
重言格	chongyange
充足理由律	chongzuliyoulv
抽象	chouxiang
抽象法	chouxiangfa
抽象概念	chouxianggainian
抽象思维	chouxiangsiwei
抽象与概括	chouxiangyugaikuo
触发	chufa
触媒	chumei
初念	chunian
除外判断	chuwaipanduan
穿插	chuancha
串连式结构	chuanlianshijiegou
传神	chuanshen
创意	chuangyi
创造性想象	chuangzaoxingxiangxiang
创作冲动	chuangzuochongdong
创作灵感	chuangzuolinggan
创作受孕	chuangzuoshouyun
词	ci
词的感情色彩	cideganqingsecai
词法	cifa
辞格	cige
词汇	cihui
词类	cilei
词类活用格	cileihuoyongge
词序变化	cixubianhua
次要人物	ciyaorenwu
词义	ciyi
词语的锤炼	ciyudechuilian
词语的选择	ciyudexuanze
词组	cizu
从属论点	congshulundian
皴染	cunran
存现句	cunxianju
错综格	cuozongge
大篆	dazhuan
带笔	daibi
代词	daici
带叙	daixu
带证式	daizhengshi
单部句	danbuju
单称判断	danchengpanduan
单纯词	danchunci
单独概念	dandugainian
单句	danju
单线	danxian
单线多层式	danxianduocengshi
单线结构	danxianjiegou
