昂首阔步	angshoukuobu
昂首挺胸	angshoutingxiong
跋山涉水	bashansheshui
百感交集	baiganjiaoji
白鹤晾翅	baiheliangchi
暴跳如雷	baotiaorulei
抱头鼠窜	baotoushucuan
抱头痛哭	baotoutongku
悲不自胜	beibuzisheng
悲痛欲绝	beitongyujue
悲喜交集	beixijiaoji
笨手笨脚	benshoubenjiao
奔走相告	benzouxianggao
步罡踏斗	bugangtadou
不慌不忙	buhuangbumang
插科打诨	chakedahun
插科使砌	chakeshiqi
察言观色	chayanguanse
长吁短叹	changxuduantan
瞠目结舌	chengmujieshe
垂头丧气	chuitousangqi
捶胸顿足	chuixiongdunzu
促膝谈心	cuxitanxin
撮科打哄	cuokedahong
大步流星	dabuliuxing
大惊失色	dajingshise
大快朵颐	dakuaiduoyi
大喜过望	daxiguowang
大摇大摆	dayaodabai
胆战心惊	danzhanxinjing
蹈厉之志	daolizhizhi
道听途说	daotingtushuo
得意忘形	deyiwangxing
电光石火	dianguangshihuo
点头哈腰	diantouhayao
调兵遣将	diaobingqianjiang
喋喋不休	diediebuxiu
东奔西窜	dongbenxicuan
东倒西歪	dongdaoxiwai
动如脱兔	dongrutuotu
东张西望	dongzhangxiwang
对答如流	duidaruliu
饿虎扑食	ehupushi
饿虎扑羊	ehupuyang
饿虎擒羊	ehuqinyang
发奋图强	fafentuqiang
发科打诨	fakedahun
发扬踔厉	fayangchuoli
发扬蹈厉	fayangdaoli
翻山越岭	fanshanyueling
废寝忘食	feiqinwangshi
飞檐走壁	feiyanzoubi
愤愤不平	fenfenbuping
风驰电掣	fengchidianche
扶老携幼	fulaoxieyou
负隅顽抗	fuyuwankang
干净利落	ganjingliluo
感慨万端	gankaiwanduan
高谈阔论	gaotankuolun
刮目相看	guamuxiangkan
鬼鬼祟祟	guiguisuisui
号啕大哭	haotaodaku
豪言壮语	haoyanzhuangyu
横冲直撞	hengchongzhizhuang
横行霸道	hengxingbadao
厚颜无耻	houyanwuchi
虎视眈眈	hushidandan
花言巧语	huayanqiaoyu
欢呼雀跃	huanhuqueyue
欢天喜地	huantianxidi
慌慌张张	huanghuangzhangzhang
