汉字	读音 1	教材核心组词 1	读音 2	教材核心组词 2	读音 3	教材核心组词 3	考点核心区分（部编版教材要求）
阿	ā	阿姨、阿爸、阿公	ē	阿谀、阿胶、阿附	-	-	日常称呼 / 文言专用 / 药材名
挨	āi	挨近、挨着、挨门逐户	ái	挨打、挨饿、挨骂	-	-	靠近 / 遭受、忍受
扒	bā	扒开、扒土、扒拉	pá	扒手、扒窃、扒墙头	-	-	动作（分开 / 刨）/ 偷窃行为
吧	bā	酒吧、吧台、吧椅	ba	走吧、好吧、行吗	-	-	场所名词 / 句末轻声语气词
把	bǎ	把手、把握、一把伞	bà	刀把、话把儿、梨把儿	-	-	握持 / 器物柄、话头
耙	bà	耙子、钉耙	pá	耙地、耙土	-	-	农具名词 / 耕作动作
柏	bǎi	柏树、松柏、柏油	bó	柏林	bò	黄柏（中药）	树木 / 地名 / 中药专用
背	bēi	背包、背负、背书包	bèi	后背、背诵、背景	-	-	驮负（动作）/ 身体部位 / 记忆
奔	bēn	奔跑、奔驰、奔涌	bèn	投奔、奔命、奔头儿	-	-	快速移动 / 趋向目标、目的地
绷	bēng	绷紧、绷带、绷直	běng	绷脸、绷着劲	bèng	绷裂、绷开	拉紧 / 板脸 / 猛然裂开
辟	bì	复辟、辟邪、辟谷	pì	开辟、精辟、辟谣	-	-	恢复帝位 / 开拓、透彻
臂	bì	手臂、臂膀、臂弯	bei	胳臂	-	-	书面正式 / 口语轻声
扁	biǎn	扁平、扁担、扁豆	piān	扁舟	-	-	形状平 / 古汉语小船专用
便	biàn	方便、便利、便捷	pián	便宜、大腹便便	-	-	便捷 / 价格低、体态肥满
骠	biāo	黄骠马	piào	骠勇、骠骑	-	-	马匹毛色 / 勇猛、古代军种
屏	píng	屏幕、屏风、屏障	bǐng	屏息、屏气、屏退	bīng	屏营（文言）	遮挡 / 抑制气息 / 文言专用
剥	bō	剥削、剥离、剥夺	bāo	剥皮、剥花生	-	-	书面抽象 / 口语具体去皮
薄	báo	薄纸、薄片、薄饼	bó	薄弱、单薄、浅薄	bò	薄荷	厚度小（口语）/ 不雄厚（书面）/ 植物名
堡	bǎo	城堡、堡垒、碉堡	bǔ	堡子、瓦窑堡	pù	十里堡（地名）	防御建筑 / 村落 / 北方地名
暴	bào	暴雨、暴力、暴躁	pù	一暴十寒	-	-	一般义 / 古通 “曝”（晒）
曝	pù	曝晒、一暴十寒	bào	曝光、曝露	-	-	古汉语（晒）/ 现代（公开）
参	cān	参加、参与、参考	shēn	人参、海参、党参	cēn	参差、参差不齐	加入 / 药材 / 长短不齐
藏	cáng	躲藏、收藏、隐藏	zàng	宝藏、西藏、藏羚羊	-	-	藏匿 / 储存物、地名、民族
侧	cè	侧面、侧身、两侧	zè	侧歪、侧棱	zhāi	侧歪（方言）	书面正体 / 口语歪斜 / 方言
曾	céng	曾经、未曾、何曾	zēng	曾祖、曾孙、曾氏	-	-	过去（副词）/ 亲属辈分
差	chā	差别、差错、差距	chà	差不多、差生、差劲	chāi	出差、差事、差使	不同 / 不好 / 公务派遣
			cī	参差、参差不齐	-	-	古汉语长短不齐（单独考点）
禅	chán	禅房、禅意、禅宗	shàn	禅让、封禅、禅位	-	-	佛教相关 / 帝王传位（古礼）
颤	chàn	颤抖、颤动、颤音	zhàn	寒颤、打颤	-	-	连续抖动 / 猛然发抖（口语）
长	cháng	长短、长城、长久	zhǎng	长大、成长、首长	-	-	长度 / 生长、辈分、领导
场	chǎng	操场、场地、场合	cháng	场院、打场、晒场	-	-	现代场所 / 农村农事场地
朝	zhāo	朝阳、朝霞、朝夕	cháo	朝代、朝廷、朝向	-	-	早晨 / 朝代、朝向、朝拜
吵	chǎo	吵闹、吵架、吵嚷	chāo	吵吵（轻声）	-	-	大声争执 / 小声嘀咕（叠词）
车	chē	汽车、车站、车辆	jū	车骑、车马（文言）	-	-	现代通用 / 古汉语专用
称	chēng	称呼、称赞、称重	chèn	匀称、对称、称职	chèng	秤砣（通 “秤”）	称呼 / 适合 / 称量工具（通假）
盛	shèng	茂盛、盛大、盛开	chéng	盛饭、盛菜、盛水	-	-	兴旺繁茂 / 容纳装盛
乘	chéng	乘车、乘法、乘坐	shèng	千乘之国、乘舆	-	-	动作 / 古代兵车、帝王车马
匙	chí	汤匙、茶匙、匙子	shi	钥匙	-	-	餐具 / 开锁工具（固定搭配）
冲	chōng	冲锋、冲洗、冲动	chòng	冲劲、冲着、冲床	-	-	向前 / 劲头、对着、机械
重	chóng	重复、重新、重叠	zhòng	重量、重要、重心	-	-	再次 / 分量、重要性
臭	chòu	臭味、臭气、恶臭	xiù	乳臭未干、铜臭	-	-	难闻气味 / 气味（古汉语，泛指）
处	chǔ	处理、相处、处罚	chù	地方、住处、办事处	-	-	动作 / 场所、单位名词
传	chuán	传递、传播、传说	zhuàn	传记、自传、列传	-	-	传送流传 / 记载人物的文字
创	chuàng	创造、创新、创办	chuāng	创伤、创口、创痕	-	-	发明开创 / 伤口损伤
绰	chuò	绰绰有余、绰约	chāo	绰起、绰棍子	-	-	宽裕柔美 / 抓起（口语）
伺	cì	伺候、伺奉	sì	伺机、伺察、伺望	-	-	照料人 / 观察等候时机
攒	cuán	攒聚、攒动、攒在一起	zǎn	攒钱、积攒、攒积蓄	-	-	聚集 / 积累储蓄
撮	cuō	撮取、撮合、撮土	zuǒ	一撮毛、一撮盐	-	-	动作 / 量词（少量）
大	dà	大人、大小、大家	dài	大夫、大王（戏曲）	-	-	一般义 / 医生、戏曲王侯
答	dá	回答、答案、答复	dā	答应、答理、答腔	-	-	正式回应 / 口语应允搭理
打	dǎ	打架、打扫、打球	dá	一打铅笔、一打袜子	-	-	动作 / 量词（十二支 / 双）
单	dān	单独、简单、单位	shàn	姓单、单县	chán	单于	普通义 / 姓氏地名 / 古代匈奴君主
弹	dàn	子弹、炮弹、弹丸	tán	弹琴、弹性、弹跳	-	-	弹药弹丸 / 弹奏弹力
当	dāng	应当、当时、当然	dàng	上当、恰当、当铺	-	-	应该正在 / 合适受骗典当
倒	dǎo	摔倒、倒闭、倒台	dào	倒车、倒影、倒立	-	-	倒下垮掉 / 反向翻转
得	dé	得到、获得、得意	de	跑得快、笑得甜	děi	得亏、得去、得做	获取 / 结构助词 / 必须需要
的	de	我的、好的、红的	dí	的确、的士、的证	dì	目的、标的、中的	结构助词 / 真实出租车 / 目标箭靶
地	dì	土地、地面、地方	de	飞快地跑、认真地写	-	-	名词 / 状语结构助词
调	tiáo	调节、调皮、调和	diào	调动、声调、调查	-	-	调整调和 / 变动声音考察
都	dōu	都好、都有、全都	dū	首都、都市、都城	-	-	范围副词（全）/ 大城市都城
度	dù	温度、程度、角度	duó	揣度、度德量力、测度	-	-	计量程度 / 推测估量
恶	è	恶劣、凶恶、罪恶	ě	恶心、恶心巴拉	wù	厌恶、可恶、深恶痛绝	坏 / 肠胃不适 / 讨厌憎恨
发	fā	发现、发生、出发	fà	头发、理发、毛发	-	-	产生发出 / 头部毛发
坊	fāng	牌坊、街坊、坊巷	fáng	作坊、油坊、磨坊	-	-	街巷牌坊 / 手工业场所
菲	fēi	芳菲、菲薄	fěi	菲仪、菲酌（谦辞）	-	-	花草微薄 / 谦称礼物酒席
分	fēn	分开、分数、分钟	fèn	分量、分内、缘分	-	-	划分分开 / 份额本分缘分
缝	féng	缝补、缝纫、缝衣服	fèng	缝隙、裂缝、门缝	-	-	缝合动作 / 缝隙名词
佛	fó	佛像、佛教、佛祖	fú	仿佛、佛郁	-	-	宗教相关 / 好像、心情不舒
否	fǒu	否定、否则、可否	pǐ	否极泰来、否塞	-	-	不 / 厄运闭塞（古汉语）
夫	fū	丈夫、农夫、夫子	fú	逝者如斯夫、夫天地者	-	-	名词 / 文言句末语气词
服	fú	衣服、服务、服从	fù	一服药、两服汤药	-	-	一般义 / 量词（中药）
脯	fǔ	果脯、脯肉、杏脯	pú	胸脯、脯子	-	-	蜜饯干肉 / 胸部身体部位
盖	gài	盖子、覆盖、盖章	gě	姓盖、盖县	-	-	一般义 / 姓氏地名
干	gān	干净、干涉、干杯	gàn	干活、树干、干部	-	-	无水干燥 / 做事主干职位
杆	gān	旗杆、标杆、桅杆	gǎn	笔杆、枪杆、秤杆	-	-	直立长杆 / 手持器物柄
杠	gàng	杠杆、杠铃、杠子	gāng	杠头、杠杠（口语）	-	-	正式义 / 口语硬茬规则
膏	gāo	牙膏、药膏、膏脂	gào	膏油、膏车（文言）	-	-	膏状物 / 涂抹油（古）
搁	gē	搁笔、搁浅、搁置	gé	搁得住、搁不住（口语）	-	-	放置停下 / 承受（口语）
葛	gě	姓葛、葛州	gé	葛根、葛布、葛藤	-	-	姓氏 / 植物织物
更	gēng	更换、更正、三更	gèng	更加、更好、更甚	-	-	改变计时 / 程度加深（副词）
供	gōng	供给、供应、供养	gòng	供品、供奉、供认	-	-	提供供给 / 祭祀认罪供奉
勾	gōu	勾画、勾结、勾边	gòu	勾当、勾栏（古）	-	-	一般动作 / 坏事、古代娱乐场所
