阿巴斯港	abasigang
阿比让	abirang
阿布扎比	abuzabi|abuzhabi
阿德莱德	adelaide
阿尔法拉法	aerfalafa
阿尔赫西拉斯	aerhexilasi
阿尔及尔	aerjier
阿加迪尔	ajiadier
阿卡胡特拉	akahutela
阿卡普尔科	akapuerke
阿克拉	akela
阿雷格里港	aleigeligang
阿里卡	alika
阿姆斯特丹	amusitedan
阿帕帕	apapa
阿皮亚	apiya
阿萨布	asabu
阿什杜德	ashendude
阿什哈巴特	ashihabate
阿特利斯科	atelisike
埃佛格雷兹	aifogeleizi
艾纳	aina
岸电电缆	andiandianlan
岸电箱	andianxiang
安客拉奇	ankelaqi
安科纳	ankena
安纳巴	annaba
安全甲板	anquanjiaban
安全降落速度	anquanjiangluosudu
安全路标	anquanlubiao
安全索	anquansuo
安全装置试验	anquanzhuangzhishiyan
安特卫普	anteweipu
安托法加斯塔	antuofajiasita
鞍形舱	anxingcang
安装环境条件	anzhuanghuanjingtiaojian
安装状态	anzhuangzhuangtai
敖德萨	aodesa
奥尔堡	aoerbao
奥尔胡斯	aoerhusi
奥胡斯	aohusi
奥克兰	aokelan
奥兰	aolan
奥勒松	aolesong
奥卢芬兰	aolufenlan
奥米伽	aomijia
奥斯陆	aosilu
耙臂	babi
耙臂小车	babixiaoche
靶船	bachuan
巴尔	baer
巴尔博亚	baerboya
巴尔的摩	baerdemo
巴拉那瓜	balanagua
巴兰基亚	balanjiya
巴林	balin
巴拿马	banama
巴拿马城	banamacheng
巴生港	bashenggang
巴生港北	bashenggangbei
巴生港南	bashenggangnan
巴士拉	bashila
耙头	batou
耙头梯架	batoutijia
巴西古丹	baxigudan
耙吸装置	baxizhuangzhi
摆动吊杆装置	baidongdiaoganzhuangzhi
摆墩	baidun
柏培拉	baipeila
摆式罗经	baishiluojing
白昼信号灯	baizhouxinhaodeng
半高底桁材	bangaodihengcai
班加西	banjiaxi
半进流角	banjinliujiao
半梁	banliang
伴流	banliu
伴流测量	banliuceliang
伴流分数	banliufenshu
伴流模拟	banliumoni
伴流仪	banliuyi
伴流因数	banliuyinshu
半潜船	banqianchuan
半球罗经	banqiuluojing
板式热交换器	banshirejiaohuanqi
半坞式船台	banwushichuantai
半洗舱	banxicang
半悬舵	banxuanduo
