阿代尔	adaier
埃尔米特函数	aiermitehanshu
爱因斯坦方程	aiyinsitanfangcheng
鞍点	andian
鞍形连接	anxinglianjie
凹多边形	aoduobianxing
凹曲线	aoquxian
八面体	bamianti
百分数	baifenshu
百分位数	baifenweishu
百万	baiwan
摆线	baixian
白噪声	baizaosheng
半格	bange
半环	banhuan
半角	banjiao
半径	banjing
半开半闭区间	bankaibanbiqujian
半平面	banpingmian
半球	banqiu
半序集	banxuji
半圆	banyuan
半中轴	banzhongzhou
半轴	banzhou
蚌线	bangxian
保存	baocun
保管费	baoguanfei
包含	baohan
饱和曲线	baohequxian
包络线	baoluoxian
保密量	baomiliang
保密体制	baomitizhi
保密学	baomixue
保守力	baoshouli
保险	baoxian
贝克	beike
悖论	beilun
倍数	beishu
备择假设	beizejiashe
本元	benyuan
本征值	benzhengzhi
闭包	bibao
闭合电路	bihedianlu
闭环系统	bihuanxitong
比较	bijiao
比较法	bijiaofa
逼近	bijin
比例	bili
比例尺	bilichi
比例第三项	bilidisanxiang
比例极限	bilijixian
比例控制	bilikongzhi
比例系数	bilixishu
闭路	bilu
闭区间	biqujian
必然	biran
必然性	biranxing
比热	bire
比特	bite
闭系统	bixitong
必要不充分条件	biyaobuchongfentiaojian
必要条件	biyaotiaojian
辨别	bianbie
变参数元件	biancanshuyuanjian
变长码	bianchangma
变分学	bianfenxue
边覆盖	bianfugai
变化	bianhua
变换	bianhuan
变换规则	bianhuanguize
变换矩阵	bianhuanjuzhen
边界	bianjie
边界层	bianjieceng
边界曲线	bianjiequxian
边界条件	bianjietiaojian
边界值	bianjiezhi
遍历信源	bianlixinyuan
变量	bianliang
变量数列	bianliangshulie
编码	bianma
编码定理	bianmadingli
编码器	bianmaqi
辨识	bianshi
变数	bianshu
边图	biantu
变形	bianxing
变形椭圆	bianxingtuoyuan
编译程序	bianyichengxu
变异系数	bianyixishu
边缘	bianyuan
边缘算子	bianyuansuanzi
辩证法	bianzhengfa
标度因子	biaoduyinzi
标号	biaohao
标量	biaoliang
表面	biaomian
标签	biaoqian
表示	biaoshi
标引	biaoyin
标志	biaozhi
标准	biaozhun
标准差	biaozhuncha
标准化	biaozhunhua
标准离差	biaozhunlicha
标准模型	biaozhunmoxing
标准误差	biaozhunwucha
标准型	biaozhunxing
标准正态分布	biaozhunzhengtaifenbu
波长	bochang
波动方程	bodongfangcheng
玻恩	boen
波函数	bohanshu
伯努利方程	bonulifangcheng
泊松比	bosongbi
泊松方程	bosongfangcheng
泊松分布	bosongfenbu
博弈	boyi
不变	bubian
不变量	bubianliang
不变式	bubianshi
不变性	bubianxing
补偿	buchang
步长	buchang
补偿器	buchangqi
不等边三角形	budengbiansanjiaoxing
不定	buding
不定方程	budingfangcheng
不定积分	budingjifen
不定式	budingshi
不动点	budongdian
布尔代数	buerdaishu
布尔运算	bueryunsuan
部分乘积	bufenchengji
部分进位	bufenjinwei
不符合	bufuhe
补集	buji
布局	buju
不均匀性	bujunyunxing
不可比	bukebi
不可逆过程	bukeniguocheng
不可逆性	bukenixing
布朗运动	bulangyundong
不连续	bulianxu
不连续点	bulianxudian
不确定性	buquedingxing
补图	butu
不完全性	buwanquanxing
不稳定	buwending
不稳定性	buwendingxing
不稳定状态	buwendingzhuangtai
不一致性	buyizhixing
擦除	cachu
猜想	caixiang
残差	cancha
参考椭球	cankaotuoqiu
参考帧	cankaozhen
参数	canshu
参数估计	canshuguji
参数检验	canshujianyan
参数空间	canshukongjian
操作	caozuo
测不准原理	cebuzhunyuanli
测地线	cedixian
测角术	cejiaoshu
测距仪	cejuyi
